Codigo;Departamento;Nivel_1_2017;Nivel_1_2018;Nivel_1_diff;Nivel_2_2017;Nivel_2_2018;Nivel_2_diff;Nivel_3_2017;Nivel_3_2018;Nivel_3_diff
91;Amazonas;;;;0,7125;0,7175;0,0050;;;
5;Antioquia;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000
81;Arauca;1,0000;1,0000;0,0000;0,6466;0,7654;0,1188;;;
8;Atlántico;0,3610;0,5834;0,2224;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000
11;Bogotá DC;;;;;;;1,0000;1,0000;0,0000
13;Bolívar;0,8191;0,7419;-0,0772;1,0000;1,0000;0,0000;1,0000;0,9972;-0,0028
15;Boyacá;0,2784;0,4151;0,1367;0,8817;0,9405;0,0588;1,0000;1,0000;0,0000
17;Caldas;1,0000;1,0000;0,0000;0,6475;0,6158;-0,0317;1,0000;1,0000;0,0000
18;Caquetá;0,5825;1,0000;0,4175;0,9364;0,8778;-0,0586;;;
85;Casanare;0,6536;1,0000;0,3464;1,0000;1,0000;0,0000;;;
19;Cauca;1,0000;1,0000;0,0000;0,7798;0,9795;0,1997;1,0000;0,9091;-0,0909
20;Cesar;0,8378;0,9203;0,0825;1,0000;1,0000;0,0000;;;
27;Chocó;1,0000;1,0000;0,0000;0,4543;1,0000;0,5457;;;
23;Córdoba;1,0000;1,0000;0,0000;1,0000;0,9167;-0,0833;;;
25;Cundinamarca;1,0000;1,0000;0,0000;0,9552;1,0000;0,0448;0,6831;0,6543;-0,0288
94;Guainía;;;;;;;;;
95;Guaviare;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;;;
41;Huila;0,4826;0,4929;0,0103;1,0000;1,0000;0,0000;0,6093;0,6326;0,0233
44;La Guajira;0,7816;1,0000;0,2184;0,742;1,0000;0,2580;;;
47;Magdalena;0,5285;0,6119;0,0834;0,8675;0,986;0,1185;1,0000;1,0000;0,0000
50;Meta;0,8237;1,0000;0,1763;1,0000;1,0000;0,0000;;;
52;Nariño;0,6321;0,7176;0,0855;0,8297;0,8363;0,0066;0,79;0,6145;-0,1755
54;Norte de Santander;1,0000;1,0000;0,0000;0,7479;0,9901;0,2422;1,0000;1,0000;0,0000
86;Putumayo;1,0000;1,0000;0,0000;0,5641;0,5007;-0,0634;;;
63;Quindío;0,3987;0,9799;0,5812;1,0000;1,0000;0,0000;0,6627;1,0000;0,3373
66;Risaralda;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000
88;San Andrés y Prov,;;;;;;;;;
68;Santander;0,9698;1,0000;0,0302;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000
70;Sucre;0,2768;0,2876;0,0108;0,7248;0,5536;-0,1712;;;
73;Tolima;1,0000;1,0000;0,0000;0,6643;1,0000;0,3357;1,0000;0,7456;-0,2544
76;Valle del Cauca;1,0000;1,0000;0,0000;0,5515;1,0000;0,4485;1,0000;1,0000;0,0000
97;Vaupés;;;;1,0000;1,0000;0,0000;;;
99;Vichada;;;;1,0000;1,0000;0,0000;;;
